ID;Nome;Localidade;Profissao
33684517;Amador Modesto;Castelo Branco    Penamacôr    Alvito da Beira    436    3 626;Cozinheiro / chef
94794619;Calvino Boeira;Porto    Gondomar    Macieira    1 421     142;Empregado de mesa
81179214;Cremilde Outeiro;Açores    Ponta Delgada    Fajã de Baixo    4 553     405;Engenheiro informático
87521152;Horácio César;Aveiro    Águeda    Borralha    2 221     925;Diretor de hotel
51685363;Hércules Forte;Lisboa    Lisboa    S. Domingos de Benfica    33 678     430;Especialista em marketing digital
18870883;Cristina Leal;Aveiro    Oliveira do Bairro    Oiã    6 712     2 674;Gestor de projetos IT
10487400;Aparecida Nolasco;Braga    Braga    Palmeira    4 594     872;Economista
31113102;Consuelo Pessoa;Açores    Angra do Heroísmo    Angra (S. Pedro)    3 638     385;Dentista
18863794;Elsa Malheiro;Lisboa    Loures    Sta. Iria de Azóia    17 571     717;Ator
63912437;Jandira Morão;Viana do castelo    Vila Nova de Cerveira    Gondarém    991    713;Engenheiro civil
35669370;Duarte Menezes;Leiria    Nazaré    Valado dos Frades    3 308     1 837;Especialista em marketing digital
50051623;Guilherme Quintana;Vila Real    Boticas    Granja    266    879;Engenheiro civil
41315052;Mário Capistrano;Açores    Angra do Heroísmo    Vila de S. Sebastião    1 984     2 436;Gestor de e-commerce
21535962;Eduardo Clementino;Porto    Vila do Conde    Retorta    1 022     379;Médico
19844250;Priscila Torrado;Coimbra    Tábua    Midões    1 757     1 998;Piloto
11232640;Rodrigo Santarém;Braga    Vila Verde    Freiriz    1 142     574;Freelancer
52491409;Franklin Ataíde;Braga    Terras de Bouro Cibões    439    1 516;Militar
60860290;Loreta Valentim;Santarem    Alcanena    Vila Moreira    1 013     505;Escritor
30788250;Alírio Santarém;Açores    Praia da Vitória    S. Brás    1 012     530;Contabilista
15229484;Avelina Conceição;Guarda    Pinhel    Sta. Eufémia    194    1 185;Motorista
21324587;Túlio Rezende;Vila Real    Sabrosa    Souto Maior    563    932;Engenheiro civil
60917064;Geraldo Salgueiro;Évora    Vendas Novas    Campo    840    12 941;Educador de infância
64386017;Firmino Bouças;Lisboa    Lisboa    Mercês    5 093     30;Relações públicas
50623879;Noémia Villaça;Coimbra    Penacova    Oliveira do Mondego    734    1 222;Diretor de hotel
13901827;Eurico Zarco;Vila Real    Alijó    Vila Chã    579    1 965;Rececionista de hotel
29070914;Aldino Setúbal;Aveiro    Castelo de Paiva    Real    1 371     3 317;Pintor
11387882;Isabel Mattos;Porto    Penafiel    Marecos    1 062     419;Gestor de projetos IT
12252163;Acúrcio Ponte;Guarda    Guarda    Marmeleiro    516    2 776;Técnico ambiental
91157820;Amândio Luz;Coimbra    Figueira da Foz    Buarcos    8 051     1 214;Gestor de produto
68578286;Apolónia Quintanilha;Leiria    Óbidos    Óbidos (S. Pedro)    1 280     1 041;Influenciador digital
19806462;Adonirã Melancia;Évora    Arraiolos    Sta. Justa    226    4 290;Eletricista
39772396;Edgar Mascareñas;Braga    Amares    Paredes Secas    156    189;Notário
14168614;Douglas Villar;Viseu    Viseu    Fragosela    2 228     1 082;Engenheiro mecânico
11689848;Theo Noite;Porto    Maia    Milheirós    4 237     342;Babysitter
55628563;Tâmara Brito;Viseu    Mortágua    Vale de Remígio    750    581;Gestor de produto
29907398;Jerônimo Paião;Viseu    Lamego    Ferreiros de Avões    572    277;Pintor
19297599;Gonçalo Simas;Açores    Sta. Cruz das Flores    Ponta Delgada    453    1 872;Designer gráfico
18468213;Estela Cortesão;Viseu    Cinfães    Cinfães    3 290     2 518;Escritor
29131822;Salema Pestana;Évora    Reguengos de Monsaraz    Corval    1 578     9 491;Engenheiro informático
40375794;Adalberto Quintanilha;Madeira    Machico    Caniçal    3 893     1 146;Agricultor
61682480;Gertrudes Reis;Viana do castelo    Ponte de Lima    Ardegão    236    302;Babysitter
78663934;Moacir Maia;Évora    Arraiolos    S. Gregório    396    7 436;Maquinista
72637206;Alzira Palos;Faro    Castro Marim    Giões    307    6 595;Militar
17763352;Muriel Lobo;Bragança    Vinhais    Vale de Janeiro    153    1 498;Funcionário público
84265966;Diogo Vilas-Boas;Viseu    Penedono    Granja    181    1 020;Operador logístico
28144706;Magda Filipe;Lisboa    Oeiras    Paço de Arcos    23 496     663;Juiz
22605401;Rosária Freitas;Leiria    Alvaiázere    Pelmá    986    2 991;Analista de investimentos
22189282;Gonçalo Casqueira;Castelo Branco    Castelo Branco    Escalos de Cima    1 110     1 547;Engenheiro mecânico
83594026;Brígida Araújo;Coimbra    Arganil    Celavisa    283    1 539;Bombeiro
17766874;Sidney Quintero;Guarda    Fornos de Algodres    Muxagata    248    1 014;Gestor de produto
23964687;Natividade Semedo;Bragança    Vinhais    Vale das Fontes    430    1 665;Comercial / vendedor
73358984;Dúlio Chousa;Porto    Amarante    Gondar    1 693     963;Procurador
44274167;Selma Mata;Viana do castelo    Viana do Castelo    Vila de Punhe    2 400     512;Explicador / tutor
63115363;Hildegarda Calçada;Bragança    Macedo de Cavaleiros    Edroso    131    1 229;Guarda prisional
20083389;Frederica Remígio;Guarda    Mêda    Coriscada    246    2 533;Gestor
10420178;Estrela Teles;Viseu    Moimenta da Beira    Baldos    253    416;Juiz
33539134;Arlindo Castelo;Braga    Fafe    Medelo    1 604     199;Técnico de radiologia
38824228;Cristóvão Sesimbra;Vila Real    Montalegre    Pitões das Junias    201    3 689;Psicólogo
12367838;Aurélia Café;Leiria    Alcobaça    Pataias    5 453     7 995;Ator
43495086;Natividade Covilhã;Setúbal    Almada    Almada    19 514     142;Especialista em marketing digital
14258016;Clodoaldo Sá;Guarda    Trancoso    Torres    217    1 025;Fotógrafo
11447615;Florêncio Casalinho;Leiria    Caldas da Rainha    Carvalhal Benfeito    1 339     1 408;Diretor de hotel
31991026;Levi Moita;Bragança    Bragança    Espinhosela    305    3 596;Procurador
16075064;Clarisse Machado;Porto    Lousada    Meinedo    4 278     843;Técnico de recursos humanos
71312068;Violante Clementino;Guarda    Guarda    Sobral da Serra    228    1 085;Diretor de hotel
38732642;Evelise Barateiro;Porto    Póvoa de Varzim    Balazar    2 475     1 157;Personal trainer
32245350;Miguel Resende;Santarem    Alcanena    Serra de Santo António    726    1 449;Relações públicas
91127296;Anderson Trindade;Santarem    Abrantes    S. Facundo    1 133     7 793;Agricultor
27570802;Eustácia Cangueiro;Porto    Porto    Massarelos    7 756     194;Bombeiro
71646797;Nei Santos;Porto    Vila Nova de Gaia    Perozinho    5 950     471;Enfermeiro
95300044;Ifigénia Telinhos;Porto    Felgueiras    Sendim    1 775     648;Cientista de dados
36566401;Hilário Valverde;Braga    Vizela    S. João das Caldas    3 719     292;Procurador
42794755;Theo Seixas;Guarda    Figueira de Castelo Rodrigo    Vale de Afonsinho    122    1 379;Gestor de marketing
82621075;Jacy Figueiredo;Lisboa    Oeiras    Oeiras e S. Julião da Barra    34 850     227;Psicólogo
11657790;Salomé Grande;Faro    Olhão    Olhão    14 749     943;Agricultor
17314284;António Farinha;Viana do castelo    Paredes de Coura    Padornelo    458    965;Investigador
73586732;Cesário Laranjeira;Viana do castelo    Ponte de Lima    Navió    243    90;Gestor de e-commerce
17582588;Iolanda Pimenta;Lisboa    Vila Franca de Xira    Vialonga    15 471     1 752;Biólogo
49896955;Benjamim Rosa;Madeira    Câmara de Lobos    Curral das Freiras    1 673     2 507;Empreendedor
28859655;Eusébio Almada;Beja    Ourique    Panóias    634    11 035;Engenheiro civil
55157622;Ariana Carrasco;Lisboa    Torres Vedras    Maceira    1 845     828;Maquinista
19954775;Dirce Gentil;Braga    Braga    Navarra    454    224;Veterinário
32913917;Jussara Villas Boas;Viana do castelo    Ponte da Barca    Boivães    338    634;Especialista em inteligência artificial
49692480;Guilhermina Vilalobos;Évora    Arraiolos    Gafanhoeiro (S. Pedro)    623    4 517;Especialista em marketing digital
80563396;Palmira Anlicoara;Viseu    Resende    Barrô    1 035     1 023;Cuidador de idosos
15532847;Emanuel Alcoforado;Leiria    Batalha    Golpilheira    1 609     430;Programador / Desenvolvedor de software
54675696;Sónia Azevedo;Leiria    Caldas da Rainha    Salir do Porto    770    991;Auditor
37519232;Muriel Batata;Braga    Guimarães    Candoso (S. Martinho)    1 601     310;Procurador
61329909;Noélia Nóbrega;Leiria    Pombal    Pelariga    2 291     2 465;Educador social
69366207;Luciano Goulart;Braga    Guimarães    Mesão Frio    4 003     462;Explicador / tutor
38611609;Linda Rebello;Viseu    S. Pedro do Sul    Pinho    983    1 552;Veterinário
17279786;Erico Paz;Braga    Guimarães    Souto (S. Salvador)    928    411;Explicador / tutor
15717977;Xavier Raposo;Viana do castelo    Vila Nova de Cerveira    Campos    1 248     501;Piloto
17282038;Antónia Guilheiro;Madeira    Funchal    Funchal (S. Pedro)    7 681     149;Segurança privado
64470517;Israel Velasques;Vila Real    Valpaços    Curros    212    2 036;Programador / Desenvolvedor de software
67611943;Lara Penha;Braga    Braga    Braga (S. Vitor)    25 407     253;Enfermeiro
40136355;Serafim Lacerda;Viseu    Cinfães    Souselo    3 407     866;Ator
78301400;Telma Assis;Bragança    Vila Flor    Freixiel    821    3 318;Operador de máquinas
20854274;Iracema Castel-Branco;Setúbal    Almada    Charneca de Caparica    20 419     2 233;Psicólogo
70405164;Ricardino Reis;Açores    Vila do Porto    Sta. Bárbara    480    1 542;Professor
59924508;Nádia Velasco;Bragança    Vinhais    Ousilhão    135    1 486;Analista de dados
12301041;Celina Lagoa;Faro    Lagoa (Algarve)    Porches    1 901     1 557;Agricultor
48227256;Viriato Pimenta;Coimbra    Penela    Espinhal    895    2 939;Guia turístico
95071253;Jacy Peres;Beja    Cuba    Faro do Alentejo    621    4 431;Educador social
84258374;Fátima Quintela;Braga    Amares    Portela    198    179;Psicólogo
53356011;Duarte Castello;Évora    Reguengos de Monsaraz    Campo    840    12 941;Engenheiro informático
22156175;Neli Mascarenhas;Viana do castelo    Ponte de Lima    Vitorino dos Piães    1 618     1 351;Designer gráfico
29685013;Olímpia Azenha;Lisboa    Lisboa    Sacramento    880    8;Escritor
48893280;Valentina Pastana;Guarda    Pinhel    Pala    629    1 312;Notário
13402291;Óscar Mendes;Castelo Branco    Oleiros    Cambas    349    4 735;Ator
38271786;Olga Vilas-Boas;Coimbra    Soure    Soure    8 459     9 221;Videógrafo
15084149;Pilar Quinzeiro;Vila Real    Ribeira de Pena    Alvadia    220    3 379;Serralheiro
83601883;Arcelino Soverosa;Castelo Branco    Fundão    Aldeia Nova do Cabo    683    969;Especialista em cibersegurança
15550070;Berta Lobo;Viana do castelo    Ponte da Barca    Entre Ambos-os-Rios    542    1 478;Formador profissional
64540381;Albano Luz;Bragança    Vinhais    Ousilhão    135    1 486;Empregado de mesa
37666592;Durval Taborda;Coimbra    Montemor-o-Velho    Liceia    1 359     1 320;Enfermeiro
31866574;Cândido Nascimento;Porto    Paços de Ferreira    Seroa    3 661     605;Técnico ambiental
27335113;Elsa Carrilho;Açores    Ponta Delgada    Arrifes    6 941     2 527;Músico
21104453;Calisto Quintal;Viana do castelo    Viana do Castelo    Castelo do Neiva    3 203     764;Gestor
11030404;Tristão Secadura;Braga    Guimarães    Briteiros (Santo Estevão)    1 348     296;Operador logístico
90894907;Máximo Martins;Faro    Castro Marim    Pereiro    287    10 125;Polícia
25733087;Faustina Tristão;Viana do castelo    Melgaço    Paderne    1 235     1 356;Barman
26028100;Ademar Soeiro;Braga    Barcelos    Cambeses    1 346     341;Administrador de sistemas
69291859;Hipólito Cavalheiro;Setúbal    Barreiro    Santo António da Charneca    10 983     814;Comercial / vendedor
58903225;Theo Nogueira;Aveiro    Oliveira de Azemeis    Travanca    1 778     455;Assistente dentário
25156336;Delfino Vergueiro;Porto    Vila do Conde    Touguinhó    1 458     476;Influenciador digital
15653226;Denise Hipólito;Faro    Aljezur    Martim Longo    1 384     13 414;Comercial / vendedor
12624674;Priscila Lucena;Braga    Guimarães    Briteiros (Sta. Leocádia)    906    508;Assistente social
14502763;Dóris Nazário;Setúbal    Montijo    Palmela    16 115     10 448;Gestor de e-commerce
42334271;Judite Keil;Braga    Vila Verde    Portela das Cabras    256    234;Bombeiro
66082758;Edgar Bastos;Évora    Évora    Horta das Figueiras    8 305     4 276;Personal trainer
66852013;Armanda Figueiró;Bragança    Vinhais    Penhas Juntas    265    2 755;Explicador / tutor
12832027;Olímpio Valério;Leiria    Porto de Mós    Porto de Mós (S. João Baptista)    2 919     1 498;Contabilista
42888282;Micaela Perdigão;Viana do castelo    Ponte da Barca    Boivães    338    634;Pescador
17813974;Carmelinda Oleiro;Guarda    Trancoso    Trancoso (S. Pedro)    1 793     1 527;Consultor financeiro
18557023;Abílio Sotomayor;Santarem    Cartaxo        Cartaxo        10 115     1 903;Estafeta
39749143;Elizeu Franca;Vila Real    Peso da Régua    Godim    4 951     418;Barman
92875758;Petra Keil do Amaral;Bragança    Bragança    Donai    416    1 391;Pintor
42090564;Neandro Hollanda;Bragança    Macedo de Cavaleiros    Vale da Porca    349    1 723;Soldador
11587061;Adelinda Cardim;Leiria    Pedrogão Grande    Vila Facaia    702    1 732;Videógrafo
55254953;Apolónia Flores;Açores    Ponta Delgada    Candelária    1 184     853;Advogado
25727950;Alda Severo;Braga    Guimarães    Briteiros (Salvador)    1 248     517;Educador social
12444473;Nuno Parreira;Vila Real    Chaves    Faiões    880    794;Maquinista
17981256;Rita Mendes;Bragança    Vimioso    Argozelo    809    2 955;Analista de investimentos
19576080;Talita Borba;Braga    Barcelos    Paradela    853    901;Advogado
10369280;Leda Palhares;Açores    Angra do Heroísmo    Serreta    374    1 437;Educador social
59898404;Valter Doutiz;Vila Real    Montalegre    Cabril    640    7 621;Engenheiro civil
22456985;Diogo Amarante;Porto    Marco de Canaveses    Tabuado    1 387     864;Segurança privado
86789321;Susana Pinto;Leiria    Pombal    Santiago de Litém    2 550     3 102;Técnico ambiental
91226470;Jesabel Abasto;Braga    Esposende    Esposende    3 471     185;Solicitador
15161887;Nicolas Salguero;Viseu    Sátão    Mioma    1 174     1 605;Rececionista de hotel
58560985;Amado Perdigão;Porto    Vila Nova de Gaia    Oliveira do Douro    23 384     672;Cozinheiro / chef
19620225;Amadeu Frias;Viana do castelo    Monção    Moreira    709    351;Procurador
50422722;Eva Rêgo;Viseu    Vouzela    Alcofra    1 202     2 832;Tradutor
96006211;Cândido Roriz;Viseu    S. Pedro do Sul    Valadares    1 007     2 042;Gestor de transportes
57341863;Angélica Ximenes;Setúbal    Setúbal    Gâmbia-Pontes-Alto da Guerra    4 076     3 287;Procurador
72158356;Josafá Branco;Lisboa    Alenquer    Cabanas de Torres    1 013     679;Farmacêutico
16922309;Valentina Alcântara;Viana do castelo    Melgaço    Cousso    361    714;Animador turístico
15915589;Hercília Bethecourt;Faro    Silves    Armação de Pêra    3 770     915;Serralheiro
70748185;Dorotéia Caeiro;Santarem    Vila Nova da Barquinha    Atalaia    1 735     1 439;Motorista
57226489;Keila Castilhos;Vila Real    Chaves    Sta. Leocádia    419    1 325;Especialista em marketing digital
21549178;Elisa Sobral;Bragança    Macedo de Cavaleiros    Lamas de Podence    287    871;Comercial / vendedor
10092859;Kirina Abreu;Castelo Branco    Castelo Branco    Malpica do Tejo    758    24 610;Engenheiro agrónomo
57468268;Ludovico Castanho;Viseu    Cinfães    Travanca    959    667;Maquinista
21806593;Cassilda Angelim;Bragança    Vinhais    Celas    365    3 675;Agricultor
36580254;Olavo Carvalhoso;Viana do castelo    Ponte da Barca    Azias    422    1 462;Esteticista
60498052;Altino Veleda;Vila Real    Alijó    Amieiro    104    641;Diretor de hotel
28974957;Caetano Caniça;Braga    Guimarães    Vizela (S. Faustino)    1 050     211;Influenciador digital
11754191;Aécio Vianna;Lisboa    Torres Vedras    A dos Cunhados    6 936     4 398;Agricultor
12332158;Octávio Lóio;Santarem    Mação    Penhascoso    952    3 877;Administrador de sistemas
84253073;Jonas Cedraz;Coimbra    Arganil    Arganil    3 981     3 438;Agricultor
33240341;Nivaldo Salgado;Viana do castelo    Ponte da Barca    Touvedo (S. Lourenço)    266    265;Biólogo
55797115;Jussara Nogueira;Coimbra    Penela    Cumeeira    1 273     1 953;Engenheiro industrial
45513177;Flôr Lameira;Castelo Branco    Belmonte    Colmeal da Torre    894    731;Guarda prisional
21906732;Jocelina Maranhão;Porto    Felgueiras    Pinheiro    995    332;Técnico de radiologia
96536668;Benvinda Canto;Braga    Guimarães    Briteiros (Salvador)    1 248     517;Técnico de manutenção
44558678;Raimundo Peres;Porto    Vila do Conde    Vila Chã    2 957     549;Advogado
39195315;Obede Paes;Vila Real    Valpaços    Bouçoães    541    2 574;Auxiliar de ação direta
38223939;Gertrudes Doutis;Braga    Vila Verde    Atães    616    298;Técnico de recursos humanos
14755372;Aldina Loio;Viana do castelo    Monção    Segude    389    256;Escritor
79229858;Jacinto Salvado;Braga    Cabeceiras de Basto    Basto    829    704;Escritor
10091405;Flaviano Santarém;Bragança    Bragança    Gimonde    386    1 527;Soldador
31840945;Urbino Rodrigues;Viseu    Penalva do Castelo    Trancozelos    332    516;Técnico de radiologia
88550276;Clementina Sequeira;Açores    Ponta Delgada    Feteiras    1 709     2 345;Tradutor
23922100;João Covinha;Aveiro    Vagos    Santo António de Vagos    1 773     964;Fotógrafo
46367642;Marlene Calçada;Lisboa    Loures    Loures    24 237     2 491;Advogado
41941487;Timóteo Guimarães;Porto    Penafiel    Sebolido    945    554;Rececionista de hotel
64531756;Silva Ramires;Viseu    Lamego    Britiande    1 015     539;Operador logístico
25833942;Geralda Café;Aveiro    Albergaria-a-Velha    Ribeira de Fráguas    1 869     2 577;Técnico de análises clínicas
14533404;Normando Valério;Coimbra    Montemor-o-Velho    Vila Nova da Barca    365    1 165;Procurador
22785850;Bianca Pino;Viseu    Oliveira de Frades    S. Vicente de Lafões    793    778;Esteticista
73544257;Aarão Coelho;Braga    Barcelos    Fragoso    2 285     1 394;Médico
52754055;Laurentina Rebello;Aveiro    Oliveira do Bairro    Oiã    6 712     2 674;Babysitter
40308438;Sueli Rosário;Santarem    Salvaterra de Magos    Glória do Ribatejo    3 427     5 503;Fotógrafo
20015648;Ismael Marques;Guarda    Seia    Lapa dos Dinheiros    416    784;Professor
59893488;Glória Valgueiro;Porto    Felgueiras    Torrados    2 560     333;Engenheiro agrónomo
75174152;Irma Villela;Vila Real    Sabrosa    S. Cristóvão do Douro    196    297;Escritor
64545313;Tomé Rodríguez;Vila Real    Vila Real    Constatim    971    726;Pintor
18276579;Nídia Cisneiros;Vila Real    Valpaços    Curros    212    2 036;DevOps engineer
84877439;Nélia Lima;Lisboa    Mafra    Santo Isidoro    2 992     2 483;Professor
22655227;Rui Ourique;Lisboa    Lisboa    Benfica    41 368     794;Esteticista
24397102;Cleide Laranjeira;Braga    Amares    Portela    198    179;Gestor de projetos IT
25298525;Graziela Valadares;Santarem    Abrantes    S. Miguel do Rio Torto    3 422     5 225;Psicólogo
76342970;Dejanira Malafaia;Viana do castelo    Arcos de Valdevez    Loureda    219    462;Bombeiro
54238556;Lúcio Afonso;Guarda    Sabugal    Aldeia da Ponte    340    3 385;DevOps engineer
10238626;Francisca Sampaio;Braga    Barcelos    Vilar de Figos    651    376;Especialista em cibersegurança
35441303;Josafá Lage;Santarem    Coruche    Couço    3 180     34 630;Cuidador de idosos
44127483;Dirce Mota;Leiria    Pombal    Almagreira    3 075     4 318;Ator
22567603;Octávia Palmeira;Guarda    Sabugal    Rebolosa    205    1 112;Solicitador
24870566;Ada Trindade;Braga    Amares    Sequeiros    273    308;Explicador / tutor
62788161;Laurentina Cesário;Lisboa    Lisboa    Mercês    5 093     30;Analista de investimentos
41073134;Fabíola Semedo;Viseu    Cinfães    Souselo    3 407     866;Videógrafo
53223261;Tomé Antas;Viseu    Penedono    Ourozinho    186    834;Especialista em marketing digital
53941424;Anaísa Feijó;Viana do castelo    Caminha    Azevedo    158    558;Engenheiro informático
38253891;Nisa Quintão;Porto    Vila Nova de Gaia    Vilar de Andorinho    16 710     652;Animador turístico
98406146;Carmelinda Mattozo;Açores    Praia da Vitória    Biscoitos    1 425     2 630;Animador turístico
10644898;Elvis Reino;Faro    Silves    S. Marcos da Serra    1 535     15 490;Notário
18604047;Mavilde Silvestre;Açores    Sta. Cruz da Graciosa    Praia (S. Mateus)    901    1 256;Web designer
31843577;Adrião Castelo Branco;Guarda    Aguiar da Beira    Sequeiros    297    1 292;Personal trainer
26034451;Jerônimo Pedrozo;Coimbra    Penacova    Figueira de Lorvão    2 840     2 832;Explicador / tutor
35807561;Nei Prada;Guarda    Vila Nova de Foz Côa    Cedovim    434    3 076;Canalizador
14005660;Calisto Aranha;Beja    Mértola    Espírito Santo    437    13 398;Fisioterapeuta
29594197;Inês Casalinho;Açores    Horta    Castelo Branco    1 349     2 433;Personal trainer
46126758;Gonçalo Tabosa;Aveiro    Aveiro    Aradas    7 628     903;Bombeiro
34214420;Nivaldo Poças;Évora    Arraiolos    Gafanhoeiro (S. Pedro)    623    4 517;Médico
12350535;Sueli Fidalgo;Castelo Branco    Penamacôr    Meimão    347    3 322;Pintor
43948275;Atanásio Gama;Braga    Vila Nova de Famalicão    Ruivães    2 117     272;Psicólogo
39117106;Lorena Rodríguez;Madeira    Sta. Cruz    Sta. Cruz    6 070     2 810;Estafeta
46389702;Amélia Aires;Braga    Braga    Escudeiros    1 050     388;Esteticista
87194358;Ricardina Cangueiro;Viana do castelo    Arcos de Valdevez    Guilhadeses    969    280;Auxiliar de ação direta
68572092;Lissa Lins;Santarem    Rio Maior    Malaqueijo    464    584;Economista
33279003;Wilson Pimentel;Braga    Vila Nova de Famalicão    Nine    2 735     396;Biólogo
59504499;Vasco Camilo;Braga    Póvoa de Lanhoso (N. S. do Amparo)    Póvoa de Lanhoso (N. S. do Amparo)    4 602     562;Nutricionista
14055478;Aldara Bezerril;Santarem    Tomar    Paialvo    2 850     2 226;Serralheiro
15915691;Denise Cisneiros;Bragança    Vinhais    Quirás    225    2 719;Técnico de recursos humanos
63069135;Raimunda Ávila;Lisboa    Lisboa    Graça    6 960     34;Cientista de dados
16944209;Levi Franco;Bragança    Carrazeda de Ansiães    Zedes    214    1 007;Esteticista
15960704;Máxima Rodrigues;Coimbra    Góis    Cadafaz    283    3 415;Psicólogo
63053738;Anabela Paiva;Viana do castelo    Paredes de Coura    Linhares    230    530;Influenciador digital
20333091;Maristela Nazário;Braga    Guimarães    Longos    1 699     705;Veterinário
19413224;Glória Conceição;Bragança    Carrazeda de Ansiães    Lavandeira    184    1 356;Programador / Desenvolvedor de software
70677615;Yasmine Barroqueiro;Braga    Vieira do Minho Guilhofrei    1 154     1 140;Personal trainer
16262398;Ivete Sardinha;Beja    Odemira    S. Luís    2 249     14 681;Gestor de marketing
69511595;Elias Cerveira;Porto    Porto    Sé    4 751     48;Nutricionista
16754733;Diogo Thomé;Viana do castelo    Arcos de Valdevez    Extremo    157    833;Gestor de projetos IT
43287763;Jacy Tomé;Guarda    Celorico da Beira    Salgueirais    156    900;Assistente dentário
50321053;Evelina Sintra;Viseu    Resende    S. João de Fontoura    857    521;Relações públicas
49948819;Ema Canadas;Açores    Lagoa (Açores)    Água de Pau    3 122     1 743;Ator
40284888;Brandon Carrasco;Braga    Barcelos    Barqueiros    2 033     854;Babysitter
15415236;Diana Soto;Viseu    Resende    Felgueiras    315    827;Nutricionista
59352191;Yuri Mirandela;Braga    Cabeceiras de Basto    Rio Douro    1 210     4 352;Engenheiro agrónomo
16831425;Adolfo Gorjão;Porto    Baião    Viariz    602    520;Engenheiro mecânico
45619565;Úrsula Mourão;Guarda    Sabugal    Vale Longo    68    799;Fisioterapeuta
10484518;Juliano Rios;Braga    Terras de Bouro Brufe    57    645;Economista
83389383;Ângelo Cardoso;Leiria    Batalha    S. Mamede    3 513     4 038;Cozinheiro / chef
61678102;Maria Amaral;Açores    Vila Franca do Campo    Ribeira Seca    (*)     (*);Operador de máquinas
96720326;Eva Pêssego;Viseu    Viseu    S. Cipriano    1 337     1 257;Notário
24172374;Augusto Rodríguez;Guarda    Seia    Lapa dos Dinheiros    416    784;Fotógrafo
46728784;Anastácia Baldaia;Viana do castelo    Ponte de Lima    Mato    285    250;Engenheiro informático
